Timestamp,Layer,Event,Identifier,Size(Bytes),Details
2026-03-07 21:40:52.283,FS,FileChanged,00033.SHD,2152,"Observed in spool dir"
2026-03-07 21:40:52.303,FS,FileDeleted,00033.SHD,0,"Observed in spool dir"
2026-03-07 21:40:52.304,FS,FileCreated,00033.SHD,2152,"Observed in spool dir"
2026-03-07 21:40:52.304,FS,FileChanged,00033.SHD,2152,"Observed in spool dir"
2026-03-07 21:40:52.332,API,StatusChanged,Job 00033,2495,"Printed"
2026-03-07 21:40:53.883,API,JobCreated,Job 00034,0,"Spooling"
2026-03-07 21:40:53.885,FS,FileCreated,00034.SPL,0,"Observed in spool dir"
2026-03-07 21:40:53.886,FS,FileCopySuccess,00034.SPL,0,"Copied to 214053_886_00034.SPL"
2026-03-07 21:40:53.887,FS,FileCreated,00034.SHD,1888,"Observed in spool dir"
2026-03-07 21:40:53.888,FS,FileChanged,00034.SHD,2152,"Observed in spool dir"
2026-03-07 21:40:53.888,FS,FileDeleted,00034.SHD,2152,"Observed in spool dir"
2026-03-07 21:40:53.889,FS,FileCreated,00034.SHD,2152,"Observed in spool dir"
2026-03-07 21:40:53.890,FS,FileChanged,00034.SHD,2152,"Observed in spool dir"
2026-03-07 21:40:53.897,FS,FileChanged,00034.SPL,2495,"Observed in spool dir"
2026-03-07 21:40:53.899,FS,FileCopySuccess,00034.SPL,2495,"Copied to 214053_898_00034.SPL"
2026-03-07 21:40:53.900,FS,FileDeleted,00034.SHD,2152,"Observed in spool dir"
2026-03-07 21:40:53.901,FS,FileCreated,00034.SHD,2152,"Observed in spool dir"
2026-03-07 21:40:53.901,FS,FileChanged,00034.SHD,2152,"Observed in spool dir"
2026-03-07 21:40:53.920,FS,FileDeleted,00034.SHD,0,"Observed in spool dir"
2026-03-07 21:40:53.920,FS,FileCreated,00034.SHD,2152,"Observed in spool dir"
2026-03-07 21:40:53.922,FS,FileChanged,00034.SHD,2152,"Observed in spool dir"
2026-03-07 21:40:53.938,API,StatusChanged,Job 00034,2495,"Printed"
2026-03-07 21:40:55.925,API,JobCreated,Job 00035,0,"Spooling"
2026-03-07 21:40:55.926,FS,FileCreated,00035.SPL,0,"Observed in spool dir"
2026-03-07 21:40:55.927,FS,FileCopySuccess,00035.SPL,0,"Copied to 214055_926_00035.SPL"
2026-03-07 21:40:55.928,FS,FileCreated,00035.SHD,2152,"Observed in spool dir"
2026-03-07 21:40:55.929,FS,FileChanged,00035.SHD,2152,"Observed in spool dir"
2026-03-07 21:40:55.929,FS,FileDeleted,00035.SHD,2152,"Observed in spool dir"
2026-03-07 21:40:55.930,FS,FileCreated,00035.SHD,2152,"Observed in spool dir"
2026-03-07 21:40:55.931,FS,FileChanged,00035.SHD,2152,"Observed in spool dir"
2026-03-07 21:40:55.940,FS,FileChanged,00035.SPL,2495,"Observed in spool dir"
2026-03-07 21:40:55.942,FS,FileCopySuccess,00035.SPL,2495,"Copied to 214055_941_00035.SPL"
2026-03-07 21:40:55.943,FS,FileDeleted,00035.SHD,2152,"Observed in spool dir"
2026-03-07 21:40:55.944,FS,FileCreated,00035.SHD,2152,"Observed in spool dir"
2026-03-07 21:40:55.945,FS,FileChanged,00035.SHD,2152,"Observed in spool dir"
2026-03-07 21:40:55.965,FS,FileDeleted,00035.SHD,0,"Observed in spool dir"
2026-03-07 21:40:55.966,FS,FileCreated,00035.SHD,2152,"Observed in spool dir"
2026-03-07 21:40:55.967,FS,FileChanged,00035.SHD,2152,"Observed in spool dir"
2026-03-07 21:40:55.986,API,StatusChanged,Job 00035,2495,"Printed"
2026-03-07 21:42:54.399,FS,FileCreated,00036.SPL,0,"Observed in spool dir"
2026-03-07 21:42:54.400,FS,FileCopySuccess,00036.SPL,0,"Copied to 214254_399_00036.SPL"
2026-03-07 21:42:54.401,FS,FileCreated,00036.SHD,2152,"Observed in spool dir"
2026-03-07 21:42:54.401,FS,FileChanged,00036.SHD,2152,"Observed in spool dir"
2026-03-07 21:42:54.402,FS,FileDeleted,00036.SHD,2152,"Observed in spool dir"
2026-03-07 21:42:54.403,FS,FileCreated,00036.SHD,2152,"Observed in spool dir"
2026-03-07 21:42:54.403,FS,FileChanged,00036.SHD,2152,"Observed in spool dir"
2026-03-07 21:42:54.418,FS,FileChanged,00036.SPL,5490,"Observed in spool dir"
2026-03-07 21:42:54.419,FS,FileCopySuccess,00036.SPL,5490,"Copied to 214254_418_00036.SPL"
2026-03-07 21:42:54.420,API,JobCreated,Job 00036,5490,"None"
2026-03-07 21:42:54.420,FS,FileDeleted,00036.SHD,2152,"Observed in spool dir"
2026-03-07 21:42:54.421,FS,FileCreated,00036.SHD,2152,"Observed in spool dir"
2026-03-07 21:42:54.422,FS,FileChanged,00036.SHD,2152,"Observed in spool dir"
2026-03-07 21:42:54.441,FS,FileDeleted,00036.SHD,0,"Observed in spool dir"
2026-03-07 21:42:54.443,FS,FileCreated,00036.SHD,2152,"Observed in spool dir"
2026-03-07 21:42:54.444,FS,FileChanged,00036.SHD,2152,"Observed in spool dir"
2026-03-07 21:42:54.482,API,StatusChanged,Job 00036,5490,"Printed"
2026-03-07 21:42:56.116,FS,FileCreated,00037.SPL,0,"Observed in spool dir"
2026-03-07 21:42:56.117,FS,FileCopySuccess,00037.SPL,0,"Copied to 214256_117_00037.SPL"
